Country,Capital,Population,Area
Andorra,Andorra la Vella,84000,468
Andorra,Abu Dhabi,4975593,82880
Andorra,Kabul,29121286,647500
Andorra,St. John's,86754,443
Andorra,The Valley,13254,102
Andorra,Tirana,2986952,28748
Andorra,Yerevan,2968000,29800
Andorra,Luanda,13068161,1246700
Andorra,None,0,14000000
Andorra,Buenos Aires,41343201,2766890
Andorra,Pago Pago,57881,199
Andorra,Vienna,8205000,83858
Andorra,Canberra,21515754,7686850
Andorra,Oranjestad,71566,193
Andorra,Mariehamn,26711,1580
Andorra,Baku,8303512,86600
Andorra,Sarajevo,4590000,51129
Andorra,Bridgetown,285653,431
Andorra,Dhaka,156118464,144000
Andorra,Brussels,10403000,30510
Andorra,Ouagadougou,16241811,274200
Andorra,Sofia,7148785,110910
Andorra,Manama,738004,665
Andorra,Bujumbura,9863117,27830
Andorra,Porto-Novo,9056010,112620
Andorra,Gustavia,8450,21
Andorra,Hamilton,65365,53
Andorra,Bandar Seri Begawan,395027,5770
Andorra,Sucre,9947418,1098580
Andorra,Kralendijk,18012,328
Andorra,Brasília,201103330,8511965
Andorra,Nassau,301790,13940
Andorra,Thimphu,699847,47000
Andorra,None,1232,49
Andorra,Gaborone,2029307,600370
Andorra,Minsk,9685000,207600
Andorra,Belmopan,314522,22966
Andorra,Ottawa,33679000,9984670
Andorra,West Island,628,14
Andorra,Kinshasa,70916439,2345410
Andorra,Bangui,4844927,622984
Andorra,Brazzaville,3039126,342000
Andorra,Bern,7581000,41290
Andorra,Yamoussoukro,21058798,322460
Andorra,Avarua,21388,240
Andorra,Santiago,16746491,756950
Andorra,Yaoundé,19294149,475440
Andorra,Beijing,1330044000,9596960
Andorra,Bogotá,47790000,1138910
Andorra,San José,4516220,51100
Andorra,Havana,11423000,110860
Andorra,Praia,508659,4033
Andorra,Willemstad,141766,444
Andorra,Flying Fish Cove,1500,135
Andorra,Nicosia,1102677,9250
Andorra,Prague,10476000,78866
Andorra,Berlin,81802257,357021
Andorra,Djibouti,740528,23000
Andorra,Copenhagen,5484000,43094
Andorra,Roseau,72813,754
Andorra,Santo Domingo,9823821,48730
Andorra,Algiers,34586184,2381740
Andorra,Quito,14790608,283560
Andorra,Tallinn,1291170,45226
Andorra,Cairo,80471869,1001450
Andorra,Laâyoune / El Aaiún,273008,266000
Andorra,Asmara,5792984,121320
Andorra,Madrid,46505963,504782
Andorra,Addis Ababa,88013491,1127127
Andorra,Helsinki,5244000,337030
Andorra,Suva,875983,18270
Andorra,Stanley,2638,12173
Andorra,Palikir,107708,702
Andorra,Tórshavn,48228,1399
Andorra,Paris,64768389,547030
Andorra,Libreville,1545255,267667
Andorra,London,62348447,244820
Andorra,St. George's,107818,344
Andorra,Tbilisi,4630000,69700
Andorra,Cayenne,195506,91000
Andorra,St Peter Port,65228,78
Andorra,Accra,24339838,239460
Andorra,Gibraltar,27884,7
Andorra,Nuuk,56375,2166086
Andorra,Bathurst,1593256,11300
Andorra,Conakry,10324025,245857
Andorra,Basse-Terre,443000,1780
Andorra,Malabo,1014999,28051
Andorra,Athens,11000000,131940
Andorra,Grytviken,30,3903
Andorra,Guatemala City,13550440,108890
Andorra,Hagåtña,159358,549
Andorra,Bissau,1565126,36120
Andorra,Georgetown,748486,214970
Andorra,Hong Kong,6898686,1092
Andorra,None,0,412
Andorra,Tegucigalpa,7989415,112090
Andorra,Zagreb,4491000,56542
Andorra,Port-au-Prince,9648924,27750
Andorra,Budapest,9982000,93030
Andorra,Jakarta,242968342,1919440
Andorra,Dublin,4622917,70280
Andorra,None,7353985,20770
